Winning Numbers,Month,Day,Hour,Minute
"[5, 6, 11, 13, 16, 18, 30, 35, 40, 49, 52, 54, 59, 63, 67, 68, 69, 70, 71, 78]",6,11,10,5
"[1, 2, 8, 13, 19, 27, 29, 34, 44, 45, 46, 51, 58, 61, 62, 66, 71, 73, 74, 77]",6,11,10,10
"[4, 5, 8, 17, 26, 29, 33, 35, 36, 37, 38, 41, 44, 45, 47, 55, 58, 60, 62, 74]",6,11,10,15
"[1, 4, 6, 9, 10, 14, 24, 28, 32, 34, 36, 39, 41, 46, 48, 52, 58, 59, 64, 80]",6,11,10,20
"[2, 8, 10, 15, 16, 17, 22, 29, 31, 35, 41, 44, 51, 58, 62, 66, 69, 71, 73, 74]",6,11,10,25
"[1, 2, 8, 12, 14, 18, 19, 22, 23, 33, 35, 40, 44, 47, 53, 55, 58, 59, 60, 72]",6,11,10,30
"[7, 12, 20, 25, 26, 28, 30, 36, 37, 38, 47, 54, 55, 62, 64, 65, 68, 69, 75, 79]",6,11,10,35
"[5, 8, 9, 12, 15, 16, 20, 22, 27, 32, 36, 37, 42, 46, 55, 56, 63, 69, 70, 73]",6,11,10,40
"[3, 4, 5, 11, 22, 24, 25, 31, 38, 41, 49, 52, 60, 61, 67, 68, 69, 74, 77, 79]",6,11,10,45
"[1, 4, 6, 9, 17, 18, 20, 22, 26, 29, 31, 37, 38, 41, 42, 43, 50, 61, 70, 77]",6,11,10,50
"[3, 8, 10, 15, 17, 22, 25, 30, 34, 37, 39, 45, 48, 49, 54, 64, 65, 71, 76, 80]",6,11,10,55
"[2, 4, 6, 21, 22, 24, 29, 32, 35, 44, 45, 46, 54, 58, 62, 65, 69, 70, 76, 78]",6,11,11,0
"[2, 5, 7, 8, 10, 25, 26, 28, 29, 33, 38, 41, 48, 61, 63, 66, 71, 75, 77, 80]",6,11,11,5
"[3, 5, 9, 11, 14, 18, 19, 21, 29, 35, 36, 39, 44, 45, 47, 48, 54, 59, 65, 72]",6,11,11,10
"[5, 6, 7, 8, 11, 16, 25, 33, 36, 38, 47, 54, 58, 62, 65, 68, 69, 73, 78, 80]",6,11,11,15
"[2, 4, 11, 12, 18, 29, 32, 33, 34, 41, 49, 55, 56, 58, 59, 60, 61, 72, 73, 78]",6,11,11,20
"[2, 3, 15, 19, 22, 26, 32, 33, 39, 41, 43, 56, 60, 61, 67, 68, 71, 77, 78, 79]",6,11,11,25
"[5, 11, 20, 21, 25, 36, 42, 43, 46, 47, 54, 55, 56, 57, 62, 64, 69, 70, 73, 76]",6,11,11,30
"[3, 6, 7, 8, 9, 22, 23, 30, 32, 41, 43, 45, 48, 51, 55, 57, 64, 72, 74, 79]",6,11,11,35
"[5, 8, 9, 12, 15, 21, 26, 27, 29, 31, 34, 35, 40, 42, 48, 53, 59, 67, 78, 80]",6,11,11,40
"[12, 18, 19, 22, 23, 24, 27, 29, 36, 38, 39, 46, 47, 50, 52, 53, 56, 57, 60, 63]",6,11,11,45
"[8, 15, 19, 20, 24, 25, 28, 35, 46, 50, 53, 60, 61, 63, 66, 69, 70, 78, 79, 80]",6,11,11,50
"[3, 4, 8, 9, 25, 26, 30, 38, 39, 45, 46, 47, 48, 51, 52, 60, 61, 66, 67, 75]",6,11,11,55
"[1, 6, 11, 12, 17, 19, 21, 27, 28, 33, 46, 47, 51, 55, 60, 61, 64, 67, 74, 77]",6,11,12,0
"[6, 9, 17, 21, 24, 28, 33, 34, 35, 39, 42, 43, 44, 45, 47, 50, 53, 57, 69, 71]",6,11,12,5
"[1, 2, 8, 10, 11, 16, 19, 23, 34, 42, 43, 51, 55, 56, 65, 66, 73, 76, 78, 79]",6,11,12,10
"[2, 3, 4, 10, 11, 21, 22, 35, 43, 50, 51, 53, 54, 56, 59, 63, 66, 68, 70, 75]",6,11,12,15
"[10, 19, 25, 27, 29, 36, 44, 45, 47, 51, 53, 57, 58, 61, 62, 63, 68, 70, 73, 75]",6,11,12,20
"[1, 2, 6, 14, 19, 24, 25, 26, 30, 35, 38, 41, 42, 43, 44, 47, 48, 66, 70, 76]",6,11,12,25
"[2, 3, 5, 18, 20, 24, 26, 29, 33, 40, 45, 47, 49, 50, 61, 63, 64, 66, 72, 80]",6,11,12,30
"[6, 11, 14, 16, 19, 21, 27, 30, 33, 35, 36, 37, 51, 57, 65, 70, 72, 74, 75, 78]",6,11,12,35
"[2, 3, 11, 19, 24, 28, 30, 31, 43, 44, 48, 50, 55, 56, 62, 63, 69, 70, 71, 77]",6,11,12,40
"[4, 5, 18, 26, 27, 28, 30, 31, 34, 41, 42, 44, 45, 50, 59, 60, 61, 63, 69, 73]",6,11,12,45
"[2, 3, 10, 14, 16, 18, 22, 31, 44, 50, 51, 52, 57, 58, 61, 62, 64, 66, 67, 69]",6,11,12,50
"[17, 20, 21, 24, 25, 28, 31, 40, 46, 55, 56, 57, 58, 60, 61, 65, 69, 74, 77, 79]",6,11,12,55
"[1, 3, 5, 7, 10, 15, 20, 21, 32, 33, 35, 42, 45, 47, 49, 52, 61, 67, 72, 76]",6,11,13,0
"[1, 3, 9, 25, 27, 33, 34, 37, 38, 47, 50, 51, 52, 54, 55, 65, 66, 68, 72, 78]",6,11,13,5
"[2, 3, 5, 7, 10, 18, 20, 21, 23, 26, 32, 43, 52, 57, 60, 63, 64, 67, 69, 71]",6,11,13,10
"[1, 2, 8, 18, 19, 24, 27, 28, 32, 37, 38, 39, 53, 58, 60, 63, 66, 69, 79, 80]",6,11,13,15
"[4, 6, 9, 10, 11, 27, 29, 35, 37, 38, 43, 56, 59, 62, 65, 66, 67, 77, 79, 80]",6,11,13,20
"[11, 14, 17, 32, 34, 36, 37, 41, 47, 50, 51, 56, 60, 61, 68, 72, 73, 75, 76, 78]",6,11,13,25
"[4, 14, 19, 40, 44, 45, 48, 49, 50, 54, 56, 59, 60, 62, 64, 66, 67, 68, 72, 74]",6,11,13,30
"[2, 3, 8, 10, 14, 26, 29, 31, 35, 40, 42, 51, 52, 55, 56, 61, 69, 73, 79, 80]",6,11,13,35
"[1, 3, 6, 7, 19, 21, 23, 31, 33, 37, 38, 45, 47, 56, 57, 60, 67, 71, 75, 78]",6,11,13,40
"[1, 4, 6, 18, 27, 28, 31, 36, 41, 45, 47, 50, 53, 57, 58, 61, 64, 69, 74, 79]",6,11,13,45
"[5, 6, 10, 18, 24, 26, 33, 36, 42, 44, 47, 48, 51, 58, 59, 68, 70, 72, 79, 80]",6,11,13,50
"[3, 8, 9, 10, 13, 16, 24, 26, 27, 37, 51, 52, 54, 55, 59, 61, 63, 65, 70, 80]",6,11,13,55
"[11, 15, 21, 29, 31, 34, 38, 43, 44, 51, 52, 53, 58, 60, 63, 64, 66, 67, 69, 77]",6,11,14,0
"[2, 5, 6, 7, 8, 11, 16, 23, 28, 29, 31, 34, 43, 50, 51, 55, 56, 64, 70, 78]",6,11,14,5
"[5, 6, 7, 10, 12, 17, 27, 31, 32, 35, 39, 45, 46, 54, 61, 65, 70, 72, 75, 76]",6,11,14,10
"[1, 7, 9, 10, 15, 17, 20, 23, 28, 43, 50, 51, 53, 57, 58, 64, 66, 72, 74, 79]",6,11,14,15
"[6, 8, 9, 12, 14, 18, 23, 26, 33, 40, 41, 42, 44, 45, 54, 58, 59, 66, 74, 77]",6,11,14,20
"[7, 12, 13, 14, 16, 25, 30, 35, 36, 44, 46, 47, 56, 62, 64, 66, 70, 71, 74, 77]",6,11,14,25
"[2, 5, 7, 10, 12, 15, 20, 24, 25, 31, 33, 45, 53, 55, 56, 57, 58, 60, 68, 80]",6,11,14,30
"[6, 8, 17, 18, 20, 22, 30, 35, 37, 39, 43, 46, 48, 52, 56, 57, 64, 73, 74, 76]",6,11,14,35
"[2, 4, 6, 11, 12, 13, 16, 31, 32, 40, 44, 47, 49, 51, 55, 56, 61, 63, 78, 80]",6,11,14,40
"[8, 22, 23, 24, 25, 32, 36, 37, 38, 41, 42, 44, 46, 48, 50, 51, 59, 63, 66, 75]",6,11,14,45
"[1, 15, 18, 19, 22, 25, 29, 38, 46, 47, 49, 51, 52, 55, 61, 62, 67, 68, 69, 73]",6,11,14,50
"[1, 2, 19, 20, 24, 31, 36, 43, 46, 48, 50, 51, 53, 58, 64, 66, 71, 74, 75, 78]",6,11,14,55
"[1, 5, 9, 12, 16, 17, 22, 26, 27, 34, 36, 40, 43, 48, 57, 62, 67, 68, 69, 70]",6,11,15,0
"[1, 2, 5, 12, 15, 25, 31, 32, 41, 43, 44, 47, 50, 56, 58, 59, 62, 65, 66, 74]",6,11,15,5
"[6, 7, 14, 16, 19, 27, 30, 31, 35, 42, 43, 47, 48, 49, 51, 62, 63, 66, 69, 72]",6,11,15,10
"[1, 4, 6, 8, 13, 22, 33, 34, 40, 41, 42, 45, 46, 47, 48, 52, 53, 65, 66, 69]",6,11,15,15
"[3, 4, 5, 7, 13, 15, 18, 27, 29, 31, 34, 36, 42, 43, 45, 51, 53, 57, 71, 76]",6,11,15,20
"[1, 2, 3, 5, 10, 12, 15, 16, 17, 18, 21, 50, 56, 63, 66, 69, 71, 72, 73, 74]",6,11,15,25
"[2, 5, 6, 12, 17, 18, 20, 25, 27, 43, 52, 53, 54, 55, 56, 61, 64, 67, 69, 74]",6,11,15,30
"[4, 5, 13, 19, 23, 25, 31, 34, 36, 37, 45, 53, 56, 58, 60, 62, 63, 65, 69, 74]",6,11,15,35
"[1, 2, 3, 6, 7, 8, 14, 15, 16, 18, 20, 29, 33, 38, 43, 50, 51, 53, 65, 73]",6,11,15,40
"[8, 9, 10, 12, 17, 22, 23, 29, 32, 35, 44, 48, 55, 57, 60, 70, 71, 72, 74, 79]",6,11,15,45
"[4, 9, 13, 16, 19, 24, 25, 26, 32, 33, 34, 41, 46, 52, 62, 70, 73, 74, 79, 80]",6,11,15,50
"[1, 2, 11, 22, 24, 25, 30, 31, 40, 42, 45, 48, 54, 56, 58, 59, 62, 63, 78, 80]",6,11,15,55
"[1, 3, 16, 23, 26, 27, 28, 33, 36, 38, 48, 52, 53, 54, 55, 61, 62, 63, 74, 79]",6,11,16,0
"[4, 5, 13, 14, 16, 23, 25, 27, 29, 34, 42, 44, 46, 47, 61, 64, 68, 73, 75, 78]",6,11,16,5
"[3, 4, 8, 9, 26, 27, 31, 32, 33, 41, 42, 45, 53, 54, 57, 60, 67, 69, 71, 77]",6,11,16,10
"[5, 6, 8, 11, 17, 19, 21, 25, 32, 36, 37, 48, 50, 56, 58, 61, 71, 72, 74, 75]",6,11,16,15
"[5, 6, 8, 10, 15, 16, 19, 26, 33, 34, 39, 40, 49, 58, 65, 66, 68, 71, 74, 80]",6,11,16,20
"[1, 2, 3, 5, 13, 21, 23, 25, 29, 32, 36, 42, 48, 53, 54, 55, 57, 66, 73, 77]",6,11,16,25
"[3, 11, 18, 22, 28, 29, 32, 35, 38, 43, 46, 48, 54, 59, 63, 64, 67, 73, 79, 80]",6,11,16,30
"[8, 11, 13, 16, 18, 21, 26, 29, 35, 36, 37, 45, 47, 62, 65, 68, 71, 74, 76, 78]",6,11,16,35
"[1, 6, 9, 19, 23, 26, 35, 36, 38, 42, 47, 50, 54, 56, 63, 65, 66, 68, 77, 80]",6,11,16,40
"[1, 6, 7, 15, 16, 23, 26, 27, 30, 31, 46, 48, 54, 56, 57, 68, 69, 71, 72, 76]",6,11,16,45
"[2, 13, 14, 21, 22, 23, 26, 27, 28, 42, 44, 49, 50, 54, 57, 61, 65, 68, 76, 79]",6,11,16,50
"[1, 2, 17, 24, 29, 31, 34, 39, 48, 50, 51, 56, 63, 66, 67, 70, 71, 75, 78, 79]",6,11,16,55
"[8, 12, 13, 19, 20, 25, 32, 34, 36, 42, 44, 45, 58, 59, 61, 64, 66, 72, 76, 80]",6,11,17,0
"[5, 6, 9, 13, 14, 15, 20, 25, 28, 32, 36, 41, 47, 49, 54, 56, 64, 68, 79, 80]",6,11,17,5
"[3, 9, 10, 11, 18, 25, 29, 31, 33, 36, 48, 54, 57, 60, 64, 70, 71, 74, 76, 79]",6,11,17,10
"[1, 2, 4, 9, 10, 13, 14, 19, 21, 24, 25, 26, 28, 59, 61, 66, 71, 75, 79, 80]",6,11,17,15
"[9, 12, 13, 15, 36, 44, 45, 51, 53, 55, 59, 60, 64, 66, 67, 69, 72, 74, 75, 76]",6,11,17,20
"[2, 15, 19, 20, 27, 31, 40, 41, 42, 45, 48, 55, 56, 57, 60, 62, 66, 67, 71, 75]",6,11,17,25
"[2, 8, 12, 15, 17, 24, 27, 28, 31, 50, 51, 60, 63, 65, 71, 74, 75, 77, 79, 80]",6,11,17,30
"[1, 11, 13, 15, 20, 21, 22, 24, 25, 26, 28, 32, 40, 44, 52, 56, 59, 71, 73, 78]",6,11,17,35
"[1, 2, 7, 11, 18, 25, 26, 35, 45, 52, 58, 61, 62, 64, 71, 72, 74, 75, 76, 79]",6,11,17,40
"[6, 12, 13, 14, 16, 18, 19, 20, 22, 28, 36, 45, 47, 50, 58, 61, 64, 70, 77, 78]",6,11,17,45
"[3, 17, 18, 23, 36, 39, 42, 44, 47, 53, 54, 56, 59, 63, 64, 69, 73, 76, 78, 80]",6,11,17,50
"[3, 6, 7, 8, 9, 12, 14, 18, 20, 23, 30, 32, 39, 44, 46, 50, 55, 66, 69, 79]",6,11,17,55
"[5, 6, 11, 14, 15, 16, 28, 32, 37, 39, 51, 53, 54, 64, 67, 68, 70, 74, 75, 77]",6,11,18,0
"[3, 5, 9, 18, 21, 28, 29, 37, 38, 42, 44, 46, 54, 59, 61, 63, 64, 73, 78, 80]",6,11,18,5
"[1, 5, 8, 10, 13, 15, 19, 25, 29, 31, 33, 35, 36, 42, 45, 50, 58, 71, 74, 77]",6,11,18,10
"[1, 8, 9, 11, 20, 21, 31, 32, 34, 37, 39, 41, 42, 48, 49, 50, 55, 66, 77, 78]",6,11,18,15
"[3, 10, 12, 13, 14, 15, 28, 29, 33, 34, 38, 40, 51, 54, 57, 64, 72, 76, 77, 79]",6,11,18,20
"[4, 5, 7, 8, 13, 18, 20, 21, 34, 36, 50, 52, 61, 63, 66, 67, 73, 74, 77, 80]",6,11,18,25
"[4, 6, 7, 9, 10, 13, 15, 16, 18, 19, 20, 22, 23, 32, 34, 41, 47, 57, 74, 80]",6,11,18,30
"[5, 10, 13, 14, 15, 27, 30, 34, 38, 39, 42, 55, 60, 62, 64, 65, 69, 72, 75, 76]",6,11,18,35
"[1, 5, 7, 11, 17, 20, 23, 29, 32, 33, 34, 44, 48, 53, 54, 55, 65, 67, 69, 80]",6,11,18,40
"[4, 15, 18, 19, 26, 30, 33, 37, 40, 41, 44, 45, 49, 57, 63, 67, 69, 72, 75, 76]",6,11,18,45
"[1, 4, 5, 9, 17, 20, 21, 29, 30, 34, 37, 38, 39, 46, 48, 57, 58, 61, 67, 71]",6,11,18,50
"[4, 9, 11, 16, 21, 30, 35, 36, 40, 41, 46, 48, 52, 53, 57, 68, 71, 75, 77, 80]",6,11,18,55
"[16, 21, 22, 23, 25, 34, 45, 46, 47, 48, 49, 50, 54, 61, 63, 65, 67, 74, 79, 80]",6,11,19,0
"[3, 4, 7, 10, 20, 24, 29, 33, 34, 36, 38, 42, 48, 51, 52, 67, 71, 72, 78, 80]",6,11,19,5
"[3, 4, 7, 15, 18, 20, 21, 23, 31, 35, 38, 49, 51, 56, 59, 62, 68, 69, 72, 77]",6,11,19,10
"[5, 9, 11, 14, 17, 21, 25, 30, 33, 34, 42, 43, 47, 48, 54, 62, 65, 68, 72, 76]",6,11,19,15
"[1, 2, 5, 6, 8, 12, 24, 26, 31, 33, 36, 39, 53, 59, 61, 65, 69, 74, 75, 76]",6,11,19,20
"[1, 2, 7, 10, 11, 13, 23, 25, 27, 28, 31, 39, 40, 54, 68, 70, 71, 72, 74, 79]",6,11,19,25
"[12, 14, 15, 17, 19, 28, 33, 35, 36, 37, 39, 42, 44, 46, 47, 55, 66, 69, 71, 75]",6,11,19,30
"[7, 16, 20, 25, 30, 32, 33, 34, 37, 39, 40, 43, 44, 47, 48, 53, 55, 59, 63, 64]",6,11,19,35
"[6, 19, 21, 23, 24, 26, 30, 31, 34, 36, 38, 39, 41, 49, 51, 70, 73, 76, 77, 80]",6,11,19,40
"[9, 23, 28, 35, 38, 40, 41, 43, 46, 51, 54, 56, 58, 65, 67, 68, 69, 70, 72, 74]",6,11,19,45
"[3, 4, 8, 10, 12, 14, 17, 23, 26, 28, 35, 45, 47, 50, 54, 56, 60, 69, 70, 74]",6,11,19,50
"[9, 15, 19, 21, 25, 29, 31, 32, 38, 44, 47, 51, 52, 59, 65, 67, 71, 72, 78, 79]",6,11,19,55
"[14, 15, 17, 20, 21, 24, 28, 29, 30, 36, 41, 42, 43, 45, 52, 57, 62, 69, 74, 77]",6,11,20,0
"[10, 12, 16, 18, 23, 24, 27, 30, 35, 36, 40, 43, 47, 48, 50, 53, 57, 58, 65, 68]",6,11,20,5
"[16, 19, 23, 25, 31, 41, 42, 43, 44, 46, 48, 50, 53, 54, 55, 68, 70, 75, 78, 79]",6,11,20,10
"[8, 10, 11, 16, 17, 18, 29, 30, 34, 35, 36, 40, 42, 47, 48, 52, 60, 65, 73, 79]",6,11,20,15
"[2, 3, 4, 8, 9, 11, 15, 18, 20, 22, 25, 34, 36, 39, 43, 44, 45, 46, 53, 61]",6,11,20,20
"[9, 10, 19, 21, 23, 24, 32, 35, 38, 39, 40, 42, 48, 52, 53, 55, 65, 67, 69, 80]",6,11,20,25
"[5, 10, 14, 15, 16, 23, 27, 32, 37, 38, 43, 45, 62, 63, 65, 67, 68, 70, 73, 74]",6,11,20,30
"[11, 17, 23, 25, 30, 34, 36, 37, 38, 39, 46, 52, 55, 56, 57, 59, 62, 66, 68, 80]",6,11,20,35
"[1, 11, 12, 20, 23, 25, 37, 38, 39, 41, 43, 48, 54, 55, 56, 58, 66, 73, 76, 78]",6,11,20,40
"[2, 4, 14, 16, 17, 20, 21, 23, 37, 40, 46, 47, 52, 56, 59, 62, 66, 68, 70, 75]",6,11,20,45
"[10, 14, 15, 20, 22, 24, 29, 30, 40, 41, 46, 54, 57, 59, 61, 62, 63, 70, 75, 77]",6,11,20,50
"[1, 3, 4, 18, 23, 37, 38, 40, 41, 45, 48, 49, 51, 52, 54, 55, 56, 57, 58, 63]",6,11,20,55
"[2, 5, 9, 29, 33, 35, 41, 42, 45, 48, 50, 52, 56, 58, 62, 63, 66, 67, 69, 80]",6,12,5,0
"[6, 7, 8, 18, 30, 31, 32, 34, 39, 41, 49, 50, 51, 55, 57, 58, 62, 70, 76, 80]",6,12,5,5
"[1, 5, 11, 13, 14, 16, 17, 18, 22, 24, 29, 30, 31, 33, 42, 47, 48, 49, 57, 68]",6,12,5,10
"[2, 4, 11, 13, 16, 26, 31, 34, 36, 44, 46, 47, 52, 55, 57, 62, 73, 77, 79, 80]",6,12,5,15
"[4, 9, 10, 13, 18, 23, 37, 40, 42, 43, 44, 46, 49, 61, 64, 65, 67, 71, 75, 80]",6,12,5,20
"[5, 10, 15, 16, 17, 21, 22, 23, 26, 28, 31, 33, 42, 45, 48, 49, 65, 69, 70, 74]",6,12,5,25
"[5, 6, 7, 9, 16, 17, 25, 27, 34, 37, 47, 48, 49, 50, 52, 57, 58, 61, 66, 78]",6,12,5,30
"[4, 6, 8, 10, 11, 17, 34, 43, 50, 52, 53, 56, 57, 58, 59, 62, 70, 72, 77, 80]",6,12,5,35
"[4, 5, 10, 15, 17, 20, 23, 25, 26, 34, 35, 46, 47, 55, 60, 61, 62, 63, 66, 68]",6,12,5,40
"[2, 3, 5, 6, 9, 13, 14, 20, 28, 32, 34, 39, 43, 45, 64, 68, 71, 76, 79, 80]",6,12,5,45
"[1, 7, 11, 14, 19, 20, 25, 39, 40, 43, 45, 49, 50, 54, 57, 69, 73, 74, 75, 76]",6,12,5,50
"[1, 3, 6, 9, 12, 17, 20, 23, 24, 26, 37, 44, 45, 49, 50, 58, 60, 61, 73, 77]",6,12,5,55
"[1, 5, 14, 20, 23, 24, 26, 31, 32, 33, 35, 37, 38, 43, 45, 46, 60, 68, 78, 80]",6,12,6,0
"[1, 9, 16, 19, 22, 25, 28, 30, 33, 43, 50, 52, 57, 58, 59, 61, 67, 70, 73, 74]",6,12,6,5
"[3, 6, 7, 9, 10, 36, 38, 40, 44, 49, 51, 53, 59, 62, 67, 68, 73, 74, 75, 76]",6,12,6,10
"[4, 7, 8, 9, 13, 15, 20, 23, 24, 38, 40, 42, 45, 46, 54, 61, 62, 64, 70, 79]",6,12,6,15
"[14, 19, 20, 23, 24, 29, 30, 31, 32, 33, 35, 36, 39, 44, 49, 55, 58, 68, 71, 76]",6,12,6,20
"[1, 2, 5, 7, 9, 13, 17, 20, 26, 28, 30, 40, 44, 51, 57, 58, 61, 65, 67, 69]",6,12,6,25
"[5, 6, 9, 13, 15, 16, 22, 24, 29, 30, 35, 41, 42, 44, 53, 65, 66, 68, 78, 80]",6,12,6,30
"[4, 5, 7, 8, 9, 13, 14, 21, 22, 24, 28, 29, 34, 35, 45, 59, 63, 73, 74, 79]",6,12,6,35
"[3, 6, 15, 19, 21, 22, 23, 27, 37, 40, 45, 48, 51, 52, 53, 55, 58, 66, 72, 74]",6,12,6,40
"[1, 10, 15, 18, 29, 31, 36, 38, 40, 42, 46, 54, 57, 61, 62, 66, 69, 70, 71, 78]",6,12,6,45
"[2, 4, 5, 9, 13, 20, 25, 31, 36, 43, 49, 51, 56, 57, 59, 61, 66, 69, 70, 80]",6,12,6,50
"[2, 6, 10, 12, 13, 14, 20, 26, 29, 34, 35, 37, 40, 42, 46, 54, 63, 67, 71, 72]",6,12,6,55
"[3, 7, 9, 11, 15, 17, 19, 24, 26, 28, 38, 39, 42, 48, 51, 54, 73, 75, 78, 80]",6,12,7,0
"[2, 6, 9, 11, 13, 21, 25, 26, 27, 29, 36, 39, 48, 49, 52, 53, 58, 59, 71, 79]",6,12,7,5
"[4, 7, 13, 15, 20, 25, 28, 30, 33, 35, 38, 49, 50, 53, 55, 59, 64, 69, 71, 79]",6,12,7,10
"[4, 7, 12, 13, 14, 16, 17, 23, 25, 26, 43, 48, 51, 54, 56, 62, 63, 64, 67, 79]",6,12,7,15
"[5, 18, 19, 20, 23, 27, 29, 43, 44, 52, 57, 58, 59, 64, 65, 66, 67, 70, 73, 75]",6,12,7,20
"[1, 5, 10, 11, 16, 22, 29, 30, 33, 40, 44, 45, 49, 57, 59, 62, 65, 70, 72, 73]",6,12,7,25
"[5, 6, 8, 9, 10, 14, 19, 20, 29, 30, 33, 34, 35, 42, 43, 51, 52, 70, 75, 78]",6,12,7,30
"[7, 12, 17, 20, 24, 27, 30, 32, 35, 53, 55, 56, 60, 65, 66, 70, 71, 72, 73, 77]",6,12,7,35
"[6, 7, 12, 19, 25, 28, 29, 31, 34, 35, 41, 42, 56, 60, 61, 71, 72, 78, 79, 80]",6,12,7,40
"[2, 8, 11, 16, 20, 21, 23, 25, 29, 30, 36, 44, 45, 52, 54, 56, 57, 69, 71, 73]",6,12,7,45
"[2, 6, 11, 12, 14, 20, 27, 38, 41, 42, 43, 50, 53, 54, 60, 62, 67, 73, 77, 79]",6,12,7,50
"[3, 6, 14, 17, 20, 24, 31, 32, 37, 39, 46, 47, 52, 60, 64, 68, 70, 72, 75, 76]",6,12,7,55
"[2, 8, 9, 11, 18, 19, 21, 22, 23, 24, 36, 41, 49, 52, 55, 57, 58, 61, 67, 77]",6,12,8,0
"[1, 3, 7, 10, 11, 16, 18, 24, 32, 34, 35, 38, 48, 50, 52, 60, 63, 66, 70, 80]",6,12,8,5
"[7, 18, 21, 26, 29, 30, 33, 34, 36, 44, 46, 49, 51, 52, 59, 61, 65, 69, 73, 80]",6,12,8,10
"[12, 17, 18, 25, 29, 30, 31, 33, 34, 35, 37, 44, 59, 61, 62, 63, 67, 69, 74, 75]",6,12,8,15
"[4, 7, 8, 9, 14, 21, 25, 26, 28, 32, 34, 45, 46, 53, 62, 63, 70, 71, 79, 80]",6,12,8,20
"[1, 2, 3, 4, 11, 12, 18, 22, 32, 34, 43, 49, 51, 53, 54, 61, 69, 74, 76, 79]",6,12,8,25
"[9, 11, 12, 16, 23, 24, 26, 30, 31, 41, 46, 56, 57, 59, 62, 66, 71, 74, 75, 77]",6,12,8,30
"[3, 6, 7, 9, 16, 17, 20, 23, 29, 35, 40, 44, 46, 49, 51, 65, 70, 72, 78, 79]",6,12,8,35
"[4, 12, 22, 24, 29, 30, 34, 35, 50, 54, 55, 59, 61, 63, 67, 69, 71, 72, 77, 80]",6,12,8,40
"[3, 8, 17, 19, 23, 24, 28, 32, 34, 37, 39, 44, 50, 51, 53, 63, 64, 76, 78, 80]",6,12,8,45
"[9, 11, 12, 18, 20, 21, 23, 25, 28, 29, 34, 35, 47, 52, 57, 58, 62, 63, 65, 80]",6,12,8,50
"[4, 13, 15, 19, 20, 21, 28, 29, 31, 32, 37, 47, 49, 54, 56, 59, 64, 69, 72, 80]",6,12,8,55
"[8, 13, 21, 23, 30, 36, 43, 45, 50, 52, 53, 55, 58, 60, 65, 66, 67, 71, 72, 75]",6,12,9,0
"[5, 7, 11, 24, 29, 33, 34, 39, 42, 43, 44, 46, 48, 50, 56, 58, 61, 64, 76, 77]",6,12,9,5
"[1, 4, 9, 10, 12, 13, 14, 17, 18, 25, 30, 33, 34, 50, 56, 60, 64, 67, 69, 74]",6,12,9,10
"[7, 9, 13, 17, 21, 22, 24, 26, 30, 39, 44, 45, 47, 51, 52, 54, 58, 66, 71, 76]",6,12,9,15
"[16, 17, 18, 21, 23, 29, 31, 35, 38, 42, 43, 46, 47, 55, 60, 72, 74, 75, 76, 80]",6,12,9,20
"[2, 4, 9, 13, 17, 19, 23, 28, 32, 33, 34, 46, 47, 49, 51, 52, 58, 60, 61, 67]",6,12,9,25
"[1, 2, 5, 7, 8, 9, 10, 12, 16, 29, 31, 40, 43, 46, 57, 62, 63, 65, 70, 77]",6,12,9,30
"[1, 7, 10, 14, 16, 19, 29, 30, 33, 35, 41, 43, 46, 51, 55, 56, 66, 71, 78, 79]",6,12,9,35
"[13, 14, 18, 19, 20, 22, 23, 24, 25, 27, 28, 35, 42, 43, 58, 63, 65, 67, 75, 78]",6,12,9,40
"[3, 5, 10, 11, 18, 19, 23, 26, 34, 40, 41, 46, 50, 52, 56, 65, 69, 70, 72, 79]",6,12,9,45
"[5, 11, 14, 19, 20, 30, 37, 44, 45, 46, 52, 57, 58, 61, 66, 67, 69, 71, 78, 79]",6,12,9,50
"[7, 11, 14, 21, 23, 28, 31, 34, 38, 39, 46, 47, 52, 58, 60, 64, 65, 69, 73, 74]",6,12,9,55
"[1, 13, 14, 16, 17, 18, 19, 20, 24, 28, 31, 37, 40, 46, 51, 57, 62, 63, 70, 74]",6,12,10,0
"[1, 6, 7, 19, 30, 41, 44, 49, 51, 54, 55, 56, 57, 59, 62, 63, 67, 69, 75, 80]",6,12,10,5
"[5, 7, 10, 13, 14, 16, 19, 20, 23, 24, 26, 32, 34, 36, 42, 48, 65, 71, 77, 79]",6,12,10,10
"[6, 10, 13, 22, 26, 28, 31, 34, 38, 40, 44, 47, 48, 49, 62, 66, 67, 73, 77, 79]",6,12,10,15
"[1, 2, 3, 9, 11, 13, 17, 18, 21, 24, 37, 48, 50, 53, 57, 61, 63, 68, 72, 79]",6,12,10,20
"[5, 6, 12, 16, 19, 24, 34, 36, 37, 39, 41, 49, 52, 53, 60, 63, 65, 71, 78, 80]",6,12,10,25
"[3, 5, 11, 15, 16, 19, 21, 22, 43, 44, 45, 47, 54, 56, 60, 62, 73, 75, 76, 80]",6,12,10,30
"[4, 10, 11, 16, 19, 34, 37, 43, 46, 51, 52, 53, 56, 59, 64, 65, 68, 71, 76, 78]",6,12,10,35
